id_grupo;data_assembleia;tipo_lance;percentual_lance;valor_lance;qtd_contemplados
1;2022-06-15;Lance Livre;94.43;47215.00;1
1;2022-06-15;Lance Embutido;75.98;37990.00;1
1;2022-06-15;Lance Fixo;30;15000.00;1
1;2022-07-15;Lance Livre;82.39;41195.00;1
1;2022-07-15;Lance Embutido;88.17;44085.00;1
1;2022-07-15;Lance Fixo;30;15000.00;1
1;2022-08-15;Lance Livre;83.68;41840.00;1
1;2022-08-15;Lance Embutido;88.76;44380.00;1
1;2022-08-15;Lance Fixo;30;15000.00;1
1;2022-09-15;Lance Livre;55.37;27685.00;2
1;2022-09-15;Lance Embutido;69.32;34660.00;2
1;2022-09-15;Lance Fixo;30;15000.00;2
1;2022-10-15;Lance Livre;58.71;29355.00;1
1;2022-10-15;Lance Embutido;54.35;27175.00;3
1;2022-10-15;Lance Fixo;30;15000.00;1
1;2022-11-15;Lance Livre;72.85;36425.00;2
1;2022-11-15;Lance Embutido;61.52;30760.00;1
1;2022-11-15;Lance Fixo;30;15000.00;2
1;2022-12-15;Lance Livre;62.78;31390.00;1
1;2022-12-15;Lance Embutido;65.08;32540.00;3
1;2022-12-15;Lance Fixo;30;15000.00;2
1;2023-01-15;Lance Livre;74.26;37130.00;3
1;2023-01-15;Lance Embutido;72.89;36445.00;2
1;2023-01-15;Lance Fixo;30;15000.00;2
1;2023-02-15;Lance Livre;58.73;29365.00;3
1;2023-02-15;Lance Embutido;69.01;34505.00;1
1;2023-02-15;Lance Fixo;30;15000.00;3
1;2023-03-15;Lance Livre;67.01;33505.00;1
1;2023-03-15;Lance Embutido;58.8;29400.00;2
1;2023-03-15;Lance Fixo;30;15000.00;3
1;2023-04-15;Lance Livre;74.46;37230.00;3
1;2023-04-15;Lance Embutido;64.04;32020.00;2
1;2023-04-15;Lance Fixo;30;15000.00;3
1;2023-05-15;Lance Livre;57.33;32964.75;1
1;2023-05-15;Lance Embutido;73.34;42170.50;2
1;2023-05-15;Lance Fixo;30;17250.00;1
1;2023-06-15;Lance Livre;56.84;32683.00;5
1;2023-06-15;Lance Embutido;53.83;30952.25;4
1;2023-06-15;Lance Fixo;30;17250.00;3
1;2023-07-15;Lance Livre;57.65;33148.75;3
1;2023-07-15;Lance Embutido;59.9;34442.50;3
1;2023-07-15;Lance Fixo;30;17250.00;1
1;2023-08-15;Lance Livre;58.95;33896.25;4
1;2023-08-15;Lance Embutido;50.99;29319.25;2
1;2023-08-15;Lance Fixo;30;17250.00;3
1;2023-09-15;Lance Livre;55.71;32033.25;5
1;2023-09-15;Lance Embutido;58.2;33465.00;4
1;2023-09-15;Lance Fixo;30;17250.00;3
1;2023-10-15;Lance Livre;53.57;30802.75;3
1;2023-10-15;Lance Embutido;49.17;28272.75;3
1;2023-10-15;Lance Fixo;30;17250.00;1
1;2023-11-15;Lance Livre;53.77;30917.75;5
1;2023-11-15;Lance Embutido;49.44;28428.00;3
1;2023-11-15;Lance Fixo;30;17250.00;1
1;2023-12-15;Lance Livre;55.73;32044.75;3
1;2023-12-15;Lance Embutido;48.81;28065.75;2
1;2023-12-15;Lance Fixo;30;17250.00;2
1;2024-01-15;Lance Livre;53.74;30900.50;3
1;2024-01-15;Lance Embutido;51.23;29457.25;2
1;2024-01-15;Lance Fixo;30;17250.00;3
1;2024-02-15;Lance Livre;55.77;32067.75;2
1;2024-02-15;Lance Embutido;50.26;28899.50;4
1;2024-02-15;Lance Fixo;30;17250.00;1
1;2024-03-15;Lance Livre;50.09;28801.75;4
1;2024-03-15;Lance Embutido;59.56;34247.00;5
1;2024-03-15;Lance Fixo;30;17250.00;2
1;2024-04-15;Lance Livre;57.81;33240.75;2
1;2024-04-15;Lance Embutido;56.34;32395.50;3
1;2024-04-15;Lance Fixo;30;17250.00;3
1;2024-05-15;Lance Livre;52;34385.00;3
1;2024-05-15;Lance Embutido;59.09;39073.26;3
1;2024-05-15;Lance Fixo;30;19837.50;1
1;2024-06-15;Lance Livre;49.53;32751.71;2
1;2024-06-15;Lance Embutido;56.65;37459.81;5
1;2024-06-15;Lance Fixo;30;19837.50;2
1;2024-07-15;Lance Livre;51.63;34140.34;2
1;2024-07-15;Lance Embutido;50.02;33075.72;4
1;2024-07-15;Lance Fixo;30;19837.50;1
1;2024-08-15;Lance Livre;53.91;35647.99;2
1;2024-08-15;Lance Embutido;51.64;34146.95;4
1;2024-08-15;Lance Fixo;30;19837.50;1
1;2024-09-15;Lance Livre;53.26;35218.17;5
1;2024-09-15;Lance Embutido;51.81;34259.36;2
1;2024-09-15;Lance Fixo;30;19837.50;3
1;2024-10-15;Lance Livre;55.18;36487.77;2
1;2024-10-15;Lance Embutido;56.63;37446.59;2
1;2024-10-15;Lance Fixo;30;19837.50;1
1;2024-11-15;Lance Livre;54.33;35925.71;2
1;2024-11-15;Lance Embutido;48.93;32354.96;3
1;2024-11-15;Lance Fixo;30;19837.50;1
1;2024-12-15;Lance Livre;54.94;36329.07;3
1;2024-12-15;Lance Embutido;48.72;32216.10;5
1;2024-12-15;Lance Fixo;30;19837.50;3
1;2025-01-15;Lance Livre;51.64;34146.95;2
1;2025-01-15;Lance Embutido;57.35;37922.69;5
1;2025-01-15;Lance Fixo;30;19837.50;1
1;2025-02-15;Lance Livre;52.14;34477.57;4
1;2025-02-15;Lance Embutido;58.58;38736.02;3
1;2025-02-15;Lance Fixo;30;19837.50;3
1;2025-03-15;Lance Livre;48.47;32050.79;4
1;2025-03-15;Lance Embutido;52.59;34775.14;4
1;2025-03-15;Lance Fixo;30;19837.50;2
1;2025-04-15;Lance Livre;48.39;31997.89;2
1;2025-04-15;Lance Embutido;56.23;37182.09;3
1;2025-04-15;Lance Fixo;30;19837.50;1
1;2025-05-15;Lance Livre;54.53;41466.66;5
1;2025-05-15;Lance Embutido;59.43;45192.80;3
1;2025-05-15;Lance Fixo;30;22813.12;3
1;2025-06-15;Lance Livre;55.65;42318.35;2
1;2025-06-15;Lance Embutido;54.35;41329.78;5
1;2025-06-15;Lance Fixo;30;22813.12;1
1;2025-07-15;Lance Livre;59.71;45405.72;2
1;2025-07-15;Lance Embutido;48.68;37018.10;2
1;2025-07-15;Lance Fixo;30;22813.12;1
1;2025-08-15;Lance Livre;54.3;41291.76;4
1;2025-08-15;Lance Embutido;57.16;43466.61;3
1;2025-08-15;Lance Fixo;30;22813.12;2
1;2025-09-15;Lance Livre;48.41;36812.78;3
1;2025-09-15;Lance Embutido;57.71;43884.85;4
1;2025-09-15;Lance Fixo;30;22813.12;1
2;2022-06-15;Lance Livre;92.97;46485.00;1
2;2022-06-15;Lance Embutido;79.33;39665.00;1
2;2022-06-15;Lance Fixo;30;15000.00;1
2;2022-07-15;Lance Livre;84.21;42105.00;1
2;2022-07-15;Lance Embutido;91.89;45945.00;1
2;2022-07-15;Lance Fixo;30;15000.00;1
2;2022-08-15;Lance Livre;77.97;38985.00;1
2;2022-08-15;Lance Embutido;91.26;45630.00;1
2;2022-08-15;Lance Fixo;30;15000.00;1
2;2022-09-15;Lance Livre;59.7;29850.00;2
2;2022-09-15;Lance Embutido;67.1;33550.00;1
2;2022-09-15;Lance Fixo;30;15000.00;1
2;2022-10-15;Lance Livre;65.16;32580.00;2
2;2022-10-15;Lance Embutido;66.75;33375.00;1
2;2022-10-15;Lance Fixo;30;15000.00;2
2;2022-11-15;Lance Livre;63.55;31775.00;3
2;2022-11-15;Lance Embutido;70.39;35195.00;3
2;2022-11-15;Lance Fixo;30;15000.00;1
2;2022-12-15;Lance Livre;74.01;37005.00;3
2;2022-12-15;Lance Embutido;67.05;33525.00;2
2;2022-12-15;Lance Fixo;30;15000.00;3
2;2023-01-15;Lance Livre;63.95;31975.00;1
2;2023-01-15;Lance Embutido;71.49;35745.00;1
2;2023-01-15;Lance Fixo;30;15000.00;3
2;2023-02-15;Lance Livre;62.74;31370.00;3
2;2023-02-15;Lance Embutido;65.66;32830.00;2
2;2023-02-15;Lance Fixo;30;15000.00;3
2;2023-03-15;Lance Livre;60.69;30345.00;3
2;2023-03-15;Lance Embutido;71.35;35675.00;3
2;2023-03-15;Lance Fixo;30;15000.00;3
2;2023-04-15;Lance Livre;60.68;30340.00;3
2;2023-04-15;Lance Embutido;62.29;31145.00;1
2;2023-04-15;Lance Fixo;30;15000.00;3
2;2023-05-15;Lance Livre;69.52;39974.00;3
2;2023-05-15;Lance Embutido;54.22;31176.50;3
2;2023-05-15;Lance Fixo;30;17250.00;2
2;2023-06-15;Lance Livre;48.6;27945.00;3
2;2023-06-15;Lance Embutido;59.93;34459.75;2
2;2023-06-15;Lance Fixo;30;17250.00;3
2;2023-07-15;Lance Livre;50.41;28985.75;2
2;2023-07-15;Lance Embutido;48.28;27761.00;5
2;2023-07-15;Lance Fixo;30;17250.00;3
2;2023-08-15;Lance Livre;59.83;34402.25;4
2;2023-08-15;Lance Embutido;58.44;33603.00;2
2;2023-08-15;Lance Fixo;30;17250.00;2
